Tiempo (s)	ag (m/2^2)
67.7	0.00836
67.72	0.0087
67.74	0.00609
67.76	-0.00013
67.78	-0.00298
67.8	0.00306
67.82	-0.00216
67.84	-0.00298
67.86	-0.02056
67.88	-0.01877
67.9	-0.00494
67.92	0.00335
67.94	0.02286
67.96	0.03371
67.98	0.04953
68	0.05233
68.02	0.05105
68.04	0.02827
68.06	0.02195
68.08	-0.00183
68.1	-0.00191
68.12	-0.00659
68.14	-0.02879
68.16	-0.03159
68.18	-0.00904
68.2	-0.00363
68.22	0.00982
68.24	0.01588
68.26	0.00333
68.28	0.00548
68.3	-0.00415
68.32	0.00078
68.34	-0.00347
68.36	0.00188
68.38	-0.01496
68.4	-0.03097
68.42	-0.02923
68.44	-0.05707
68.46	-0.05083
68.48	-0.03435
68.5	-0.01274
68.52	-0.00066
68.54	0.01484
68.56	0.02819
68.58	0.03353
68.6	0.05577
68.62	0.05356
68.64	0.06058
68.66	0.08306
68.68	0.08052
68.7	0.05728
68.72	0.04708
68.74	0.04614
68.76	0.04956
68.78	0.05567
68.8	0.05631
68.82	0.05523
68.84	0.05738
68.86	0.03921
68.88	0.00879
68.9	-0.00196
68.92	0.00027
68.94	-0.00232
68.96	0.00083
68.98	-0.00492
69	-0.02503
69.02	-0.04793
69.04	-0.05917
69.06	-0.05611
69.08	-0.06393
69.1	-0.08888
69.12	-0.11156
69.14	-0.11688
69.16	-0.11025
69.18	-0.09225
69.2	-0.09139
69.22	-0.07762
69.24	-0.05256
69.26	-0.03532
69.28	-0.02184
69.3	-0.01103
69.32	-0.00342
69.34	-0.00251
69.36	0.0003
69.38	0.00611
69.4	0.02112
69.42	0.02758
69.44	0.02662
69.46	0.02262
69.48	0.00284
69.5	-0.00152
69.52	-0.01606
69.54	-0.04319
69.56	-0.0526
69.58	-0.04952
69.6	-0.03163
69.62	-0.03056
69.64	-0.05233
69.66	-0.05866
69.68	-0.05847
69.7	-0.06405
69.72	-0.08248
69.74	-0.06764
69.76	-0.05507
69.78	-0.05085
69.8	-0.02672
69.82	-0.01063
69.84	0.01381
69.86	0.02758
69.88	0.02716
69.9	0.03426
69.92	0.03248
69.94	0.02944
69.96	0.02728
69.98	0.02892
70	0.02765
70.02	0.02598
70.04	0.02585
70.06	0.03266
70.08	0.03222
70.1	0.04347
70.12	0.03891
70.14	0.03516
70.16	0.04611
70.18	0.03359
70.2	0.0352
70.22	0.01118
70.24	0.00435
70.26	0.00158
70.28	0.00156
70.3	0.00386
70.32	0.0026
70.34	0.00355
70.36	0.00286
70.38	0.0046
70.4	0.00507
70.42	0.0009
70.44	0.00006
70.46	-0.00762
70.48	-0.01546
70.5	-0.00056
70.52	-0.00106
70.54	-0.00209
70.56	0.00455
70.58	0.00782
70.6	0.00861
70.62	0.00259
70.64	0.00004
70.66	0.00905
70.68	0.01296
70.7	0.01324
70.72	0.01366
70.74	0.01891
70.76	0.01681
70.78	0.01854
70.8	0.00024
70.82	-0.01162
70.84	-0.02293
70.86	-0.02929
70.88	-0.03012
70.9	-0.03155
70.92	-0.01244
70.94	-0.01875
70.96	-0.01197
70.98	-0.00588
71	-0.00917
71.02	-0.00659
71.04	-0.00668
71.06	0.00557
71.08	0.01929
71.1	0.01091
71.12	-0.00079
71.14	-0.00565
71.16	-0.01031
71.18	0.00556
71.2	0.00792
71.22	0.01734
71.24	0.02336
71.26	0.03915
71.28	0.05395
71.3	0.07012
71.32	0.08671
71.34	0.08711
71.36	0.07966
71.38	0.05847
71.4	0.0491
71.42	0.03103
71.44	0.04247
71.46	0.04106
71.48	0.02489
71.5	0.028
71.52	0.02591
71.54	0.00792
71.56	-0.00288
71.58	-0.00284
71.6	-0.00578
71.62	-0.00449
71.64	-0.00742
71.66	0.01228
71.68	0.02666
71.7	0.0294
71.72	0.02223
71.74	-0.00438
71.76	-0.0301
71.78	-0.05775
71.8	-0.07777
71.82	-0.09243
71.84	-0.08285
71.86	-0.05481
71.88	-0.0189
71.9	0.00578
71.92	-0.00085
71.94	-0.00967
71.96	0.00111
71.98	-0.01181
72	-0.03122
72.02	-0.03982
72.04	-0.05701
72.06	-0.05438
72.08	-0.05639
72.1	-0.02991
72.12	-0.02917
72.14	-0.05004
72.16	-0.01468
72.18	0.00409
72.2	-0.01175
72.22	-0.05647
72.24	-0.06531
72.26	-0.05026
72.28	-0.03237
72.3	-0.01282
72.32	-0.0004
72.34	-0.01404
72.36	-0.03592
72.38	-0.01464
72.4	0.01335
72.42	0.00959
72.44	-0.00754
72.46	-0.01939
72.48	-0.03619
72.5	-0.05442
72.52	-0.05635
72.54	-0.04932
72.56	-0.04043
72.58	-0.00818
72.6	0.03413
72.62	0.08168
72.64	0.08676
72.66	0.07169
72.68	0.06432
72.7	0.02832
72.72	0.00339
72.74	-0.01728
72.76	-0.02004
72.78	-0.00997
72.8	-0.0103
72.82	-0.00796
72.84	0.02816
72.86	0.05309
72.88	0.0465
72.9	0.04408
72.92	0.04797
72.94	0.06666
72.96	0.07815
72.98	0.0576
73	0.04882
73.02	0.02905
73.04	-0.00289
73.06	-0.00404
73.08	0.00924
73.1	0.00524
73.12	-0.01121
73.14	-0.0174
73.16	-0.0298
73.18	-0.05161
73.2	-0.05313
73.22	-0.03513
73.24	-0.02654
73.26	-0.02322
73.28	-0.00963
73.3	-0.01151
73.32	-0.0097
73.34	-0.00259
73.36	-0.00752
73.38	-0.02511
73.4	-0.03606
73.42	-0.03809
73.44	-0.03691
73.46	-0.02812
73.48	-0.04784
73.5	-0.03955
73.52	-0.02791
73.54	-0.03106
73.56	-0.00795
73.58	-0.00684
73.6	-0.01794
73.62	-0.03064
73.64	-0.02195
73.66	-0.00685
73.68	-0.02536
73.7	-0.03028
73.72	-0.02851
73.74	-0.03237
73.76	-0.03096
73.78	-0.02057
73.8	-0.02921
73.82	-0.04407
73.84	-0.05002
73.86	-0.0432
73.88	-0.03151
73.9	-0.02821
73.92	-0.04123
73.94	-0.04331
73.96	-0.02556
73.98	-0.00819
74	0.01189
74.02	0.03783
74.04	0.03886
74.06	0.0522
74.08	0.05706
74.1	0.05777
74.12	0.05131
74.14	0.01273
74.16	0.00019
74.18	0.00928
74.2	0.03823
74.22	0.05608
74.24	0.06818
74.26	0.06983
74.28	0.06153
74.3	0.04836
74.32	0.01508
74.34	-0.00304
74.36	-0.02686
74.38	-0.06738
74.4	-0.10196
74.42	-0.10871
74.44	-0.08194
74.46	-0.0507
74.48	-0.02858
74.5	0.00688
74.52	0.02888
74.54	0.03335
74.56	0.03773
74.58	0.03836
74.6	0.04178
74.62	0.01703
74.64	-0.01985
74.66	-0.02169
74.68	-0.00769
74.7	0.02452
74.72	0.05188
74.74	0.06757
74.76	0.07034
74.78	0.04932
74.8	0.03162
74.82	0.01525
74.84	0.03295
74.86	0.05982
74.88	0.06921
74.9	0.06175
74.92	0.05651
74.94	0.04387
74.96	0.04743
74.98	-0.00063
75	-0.0556
75.02	-0.06842
75.04	-0.0578
75.06	0.01274
75.08	0.04193
75.1	0.04828
75.12	0.05834
75.14	0.07248
75.16	0.09197
75.18	0.09491
75.2	0.06817
75.22	0.0251
75.24	-0.02599
75.26	-0.04359
75.28	-0.03552
75.3	-0.01502
75.32	-0.02202
75.34	-0.04498
75.36	-0.04241
75.38	-0.00709
75.4	0.05168
75.42	0.07919
75.44	0.07995
75.46	0.08303
75.48	0.09596
75.5	0.08676
75.52	0.05093
75.54	-0.00432
75.56	-0.04421
75.58	-0.06325
75.6	-0.07958
75.62	-0.10371
75.64	-0.11425
75.66	-0.04344
75.68	0.01552
75.7	0.02257
75.72	0.02059
75.74	0.02934
75.76	0.02963
75.78	0.00911
75.8	-0.02188
75.82	-0.03466
75.84	-0.01891
75.86	0.0062
75.88	0.00948
75.9	-0.0038
75.92	-0.00531
75.94	0.00602
75.96	0.02324
75.98	0.04193
76	0.06969
76.02	0.05663
76.04	0.02316
76.06	-0.01494
76.08	-0.04315
76.1	-0.0525
76.12	-0.03622
76.14	-0.035
76.16	-0.02956
76.18	-0.01402
76.2	0.01716
76.22	0.05118
76.24	0.0539
76.26	0.05405
76.28	0.05446
76.3	0.05346
76.32	0.05501
76.34	0.05433
76.36	0.05666
76.38	0.05254
76.4	0.05379
76.42	0.04397
76.44	0.03121
76.46	0.04915
76.48	0.05478
76.5	0.05551
76.52	0.03479
76.54	0.02111
76.56	0.02432
76.58	0.02522
76.6	0.02208
76.62	0.00863
76.64	0.00193
76.66	0.02332
76.68	0.03472
76.7	0.0304
76.72	0.01541
76.74	0.00492
76.76	0.00703
76.78	-0.00301
76.8	-0.01626
76.82	-0.04238
76.84	-0.05291
76.86	-0.07223
76.88	-0.07741
76.9	-0.08411
76.92	-0.07324
76.94	-0.05442
76.96	-0.0515
76.98	-0.03058
77	-0.02939
77.02	-0.02511
77.04	-0.04372
77.06	-0.05507
77.08	-0.07832
77.1	-0.07581
77.12	-0.06099
77.14	-0.03938
77.16	0.00879
77.18	0.03656
77.2	0.05937
77.22	0.05765
77.24	0.05808
77.26	0.0402
77.28	0.0362
77.3	0.03543
77.32	0.0314
77.34	0.01344
77.36	0.0021
77.38	0.00739
77.4	0.01837
77.42	0.03315
77.44	0.02882
77.46	0.04069
77.48	0.03557
77.5	0.05452
77.52	0.05058
77.54	0.0176
77.56	-0.00373
77.58	-0.02797
77.6	-0.03719
77.62	-0.04612
77.64	-0.04824
77.66	-0.03361
77.68	-0.02318
77.7	-0.01169
77.72	0.00418
77.74	0.00593
77.76	0.01377
77.78	0.00926
77.8	-0.00585
77.82	-0.01142
77.84	-0.01014
77.86	-0.01478
77.88	-0.03599
77.9	-0.05634
77.92	-0.06924
77.94	-0.05972
77.96	-0.03573
77.98	-0.0203
78	0.00575
78.02	0.02117
78.04	0.01156
78.06	0.00825
78.08	-0.00501
78.1	-0.01057
78.12	-0.0127
78.14	-0.00308
78.16	0.01822
78.18	0.01693
78.2	0.02461
78.22	0.02372
78.24	0.02096
78.26	0.0201
78.28	0.0226
78.3	0.01613
78.32	-0.00209
78.34	-0.01302
78.36	-0.02586
78.38	-0.03024
78.4	-0.03167
78.42	-0.02914
78.44	-0.02998
78.46	-0.02644
78.48	-0.02521
78.5	-0.0272
78.52	-0.02551
78.54	-0.02877
78.56	-0.02453
78.58	-0.02364
78.6	-0.02279
78.62	-0.02321
78.64	-0.01982
78.66	-0.00144
78.68	0.02419
78.7	0.03379
78.72	0.03424
78.74	0.02731
78.76	0.01831
78.78	0.01155
78.8	-0.00478
78.82	-0.02391
78.84	-0.03361
78.86	-0.04617
78.88	-0.04764
78.9	-0.02691
78.92	-0.01701
78.94	-0.01069
78.96	-0.00274
78.98	-0.00474
79	-0.00278
79.02	-0.00063
79.04	-0.02301
79.06	-0.03926
79.08	-0.06087
79.1	-0.07329
79.12	-0.08532
79.14	-0.08301
79.16	-0.06104
79.18	-0.04621
79.2	-0.01792
79.22	-0.00116
79.24	0.01012
79.26	0.03232
79.28	0.04422
79.3	0.04271
79.32	0.0378
79.34	0.02366
79.36	0.01385
79.38	-0.00005
79.4	0.00235
79.42	0.00897
79.44	0.01263
79.46	0.01864
79.48	0.01477
79.5	0.03323
79.52	0.03804
79.54	0.02927
79.56	0.02016
79.58	0.01724
79.6	0.02475
79.62	0.02567
79.64	0.00776
79.66	0.00504
79.68	-0.00928
79.7	-0.02389
79.72	-0.03924
79.74	-0.04784
79.76	-0.04623
79.78	-0.04402
79.8	-0.02607
79.82	0.00577
79.84	0.03087
79.86	0.04226
79.88	0.0544
79.9	0.0495
79.92	0.03804
79.94	0.03269
79.96	0.01489
79.98	0.00957
