t(s)	ag(m/s^2)
29.4	0.16098
29.42	0.11666
29.44	0.09878
29.46	0.08817
29.48	0.068
29.5	0.04699
29.52	0.02311
29.54	-0.02049
29.56	-0.04954
29.58	-0.06307
29.6	-0.08499
29.62	-0.09455
29.64	-0.08075
29.66	-0.06001
29.68	-0.01794
29.7	0.02727
29.72	0.05254
29.74	0.05375
29.76	0.04167
29.78	0.01695
29.8	-0.01981
29.82	-0.04505
29.84	-0.03423
29.86	-0.00108
29.88	0.01409
29.9	0.05097
29.92	0.07287
29.94	0.04096
29.96	0.02291
29.98	0.03307
30	0.06196
30.02	0.11703
30.04	0.14688
30.06	0.13215
30.08	0.10623
30.1	0.10022
30.12	0.1315
30.14	0.15886
30.16	0.16918
30.18	0.16786
30.2	0.15817
30.22	0.14531
30.24	0.11859
30.26	0.08643
30.28	0.07251
30.3	0.08163
30.32	0.09461
30.34	0.09526
30.36	0.08418
30.38	0.05742
30.4	0.02242
30.42	-0.00919
30.44	-0.005
30.46	0.01945
30.48	0.04538
30.5	0.04422
30.52	0.01766
30.54	-0.00976
30.56	-0.02327
30.58	-0.00978
30.6	0.02327
30.62	0.07642
30.64	0.1175
30.66	0.12847
30.68	0.13729
30.7	0.1368
30.72	0.11706
30.74	0.10063
30.76	0.09733
30.78	0.10209
30.8	0.10044
30.82	0.10402
30.84	0.11633
30.86	0.12355
30.88	0.11389
30.9	0.10572
30.92	0.09687
30.94	0.06326
30.96	0.02378
30.98	-0.00354
31	-0.04203
31.02	-0.0641
31.04	-0.07096
31.06	-0.08106
31.08	-0.08762
31.1	-0.08889
31.12	-0.0953
31.14	-0.08521
31.16	-0.08589
31.18	-0.10675
31.2	-0.13352
31.22	-0.17061
31.24	-0.21213
31.26	-0.23091
31.28	-0.2286
31.3	-0.22235
31.32	-0.22816
31.34	-0.23625
31.36	-0.23487
31.38	-0.20849
31.4	-0.17661
31.42	-0.15833
31.44	-0.13563
31.46	-0.1098
31.48	-0.07221
31.5	-0.0409
31.52	-0.03821
31.54	-0.04288
31.56	-0.03573
31.58	-0.01067
31.6	0.02122
31.62	0.04962
31.64	0.06969
31.66	0.07206
31.68	0.08108
31.7	0.07587
31.72	0.07763
31.74	0.09161
31.76	0.10941
31.78	0.11083
31.8	0.10616
31.82	0.09536
31.84	0.08371
31.86	0.06351
31.88	0.03076
31.9	0.00037
31.92	-0.02389
31.94	-0.03907
31.96	-0.04543
31.98	-0.05059
32	-0.04877
32.02	-0.02634
32.04	0.01099
32.06	0.04418
32.08	0.06125
32.1	0.05882
32.12	0.03616
32.14	0.03729
32.16	0.05138
32.18	0.07902
32.2	0.11567
32.22	0.14323
32.24	0.15483
32.26	0.14526
32.28	0.13328
32.3	0.12009
32.32	0.0995
32.34	0.08639
32.36	0.07699
32.38	0.07317
32.4	0.06226
32.42	0.05086
32.44	0.04359
32.46	0.02236
32.48	-0.01578
32.5	-0.04887
32.52	-0.07042
32.54	-0.06869
32.56	-0.04378
32.58	-0.01453
32.6	0.00626
32.62	0.00541
32.64	-0.00588
32.66	-0.02532
32.68	-0.03783
32.7	-0.05247
32.72	-0.05262
32.74	-0.04961
32.76	-0.0506
32.78	-0.06028
32.8	-0.06752
32.82	-0.06974
32.84	-0.07766
32.86	-0.08768
32.88	-0.10029
32.9	-0.11501
32.92	-0.13647
32.94	-0.14914
32.96	-0.14256
32.98	-0.11736
33	-0.09081
33.02	-0.08064
33.04	-0.06891
33.06	-0.05328
33.08	-0.03105
33.1	-0.00943
33.12	0.00063
33.14	0.01306
33.16	0.01292
33.18	0.00215
33.2	-0.00876
33.22	-0.0135
33.24	-0.01032
33.26	-0.0163
33.28	-0.03011
33.3	-0.05446
33.32	-0.08311
33.34	-0.11051
33.36	-0.14395
33.38	-0.1579
33.4	-0.14854
33.42	-0.12285
33.44	-0.10602
33.46	-0.09912
33.48	-0.09546
33.5	-0.10211
33.52	-0.11703
33.54	-0.12015
33.56	-0.11273
33.58	-0.0954
33.6	-0.07357
33.62	-0.0634
33.64	-0.04333
33.66	-0.02875
33.68	-0.02481
33.7	-0.02076
33.72	-0.01659
33.74	-0.00362
33.76	0.01473
33.78	0.02417
33.8	0.01624
33.82	-0.00949
33.84	-0.03611
33.86	-0.05919
33.88	-0.08133
33.9	-0.10586
33.92	-0.11618
33.94	-0.10098
33.96	-0.07172
33.98	-0.03267
34	-0.01019
34.02	-0.00591
34.04	-0.0017
34.06	-0.01251
34.08	-0.02528
34.1	-0.0507
34.12	-0.07612
34.14	-0.08262
34.16	-0.07491
34.18	-0.07557
34.2	-0.08554
34.22	-0.09712
34.24	-0.10652
34.26	-0.10533
34.28	-0.08513
34.3	-0.06265
34.32	-0.05764
34.34	-0.05955
34.36	-0.06481
34.38	-0.06366
34.4	-0.03891
34.42	-0.02102
34.44	-0.01242
34.46	-0.00243
34.48	0.01666
34.5	0.03413
34.52	0.05666
34.54	0.07621
34.56	0.09664
34.58	0.10702
34.6	0.11483
34.62	0.11003
34.64	0.11367
34.66	0.1029
34.68	0.08555
34.7	0.06705
34.72	0.05753
34.74	0.05287
34.76	0.04751
34.78	0.03195
34.8	0.0125
34.82	-0.01334
34.84	-0.03273
34.86	-0.04179
34.88	-0.02083
34.9	0.00869
34.92	0.03544
34.94	0.05425
34.96	0.05474
34.98	0.04024
35	0.02526
35.02	0.01955
35.04	0.04109
35.06	0.06878
35.08	0.09186
35.1	0.09368
35.12	0.08055
35.14	0.076
35.16	0.05833
35.18	0.04482
35.2	0.03898
35.22	0.02904
35.24	0.019
35.26	0.01294
35.28	0.02072
35.3	0.03367
35.32	0.03775
35.34	0.02037
35.36	0.01577
35.38	0.01565
35.4	0.02296
35.42	0.05115
35.44	0.08258
35.46	0.10604
35.48	0.11041
35.5	0.08773
35.52	0.06646
35.54	0.04473
35.56	0.03639
35.58	0.03596
35.6	0.04042
35.62	0.05276
35.64	0.05775
35.66	0.05655
35.68	0.05623
35.7	0.05183
35.72	0.0544
35.74	0.06923
35.76	0.09545
35.78	0.12819
35.8	0.13823
35.82	0.13903
35.84	0.14456
35.86	0.14073
35.88	0.12686
35.9	0.09119
35.92	0.05864
35.94	0.0383
35.96	0.03339
35.98	0.03586
36	0.05032
36.02	0.04637
36.04	0.04553
36.06	0.03721
36.08	0.02701
36.1	0.0162
36.12	-0.00023
36.14	0.00485
36.16	0.02381
36.18	0.02947
36.2	0.03355
36.22	0.02256
36.24	0.00675
36.26	0.00067
36.28	0.02463
36.3	0.05744
36.32	0.08275
36.34	0.0791
36.36	0.054
36.38	0.03735
36.4	0.02891
36.42	0.02713
36.44	0.0122
36.46	-0.00422
36.48	-0.01315
36.5	-0.0274
36.52	-0.04521
36.54	-0.05186
36.56	-0.05633
36.58	-0.06068
36.6	-0.07102
36.62	-0.07881
36.64	-0.07598
36.66	-0.07511
36.68	-0.07675
36.7	-0.0649
36.72	-0.05912
36.74	-0.06791
36.76	-0.08429
36.78	-0.09023
36.8	-0.08846
36.82	-0.08119
36.84	-0.0697
36.86	-0.05818
36.88	-0.05868
36.9	-0.06595
36.92	-0.07734
36.94	-0.09744
36.96	-0.11066
36.98	-0.10647
37	-0.10568
37.02	-0.11156
37.04	-0.10578
37.06	-0.0995
37.08	-0.09571
37.1	-0.07994
37.12	-0.05602
37.14	-0.02632
37.16	-0.00236
37.18	0.02581
37.2	0.05266
37.22	0.07754
37.24	0.09424
37.26	0.09695
37.28	0.09492
37.3	0.09057
37.32	0.08712
37.34	0.08071
37.36	0.06376
37.38	0.06588
37.4	0.07954
37.42	0.08468
37.44	0.08205
37.46	0.07541
37.48	0.06854
37.5	0.06211
37.52	0.05653
37.54	0.04477
37.56	0.01761
37.58	-0.0051
37.6	-0.03228
37.62	-0.04296
37.64	-0.04148
37.66	-0.04589
37.68	-0.0445
37.7	-0.04162
37.72	-0.05216
37.74	-0.05938
37.76	-0.05916
37.78	-0.07052
37.8	-0.0807
37.82	-0.09815
37.84	-0.11035
37.86	-0.1185
