T	acela. (m)
29.08	-0.21399
29.1	-0.13764
29.12	-0.05852
29.14	0.03617
29.16	0.08119
29.18	0.08372
29.2	0.10844
29.22	0.14787
29.24	0.13323
29.26	0.08554
29.28	0.02621
29.3	0.02783
29.32	0.10205
29.34	0.13198
29.36	0.15465
29.38	0.16489
29.4	0.18206
29.42	0.16372
29.44	0.10951
29.46	0.06594
29.48	0.08718
29.5	0.12265
29.52	0.16249
29.54	0.22126
29.56	0.25841
29.58	0.21262
29.6	0.14527
29.62	0.06462
29.64	-0.02389
29.66	-0.11229
29.68	-0.19635
29.7	-0.17341
29.72	-0.09857
29.74	-0.01102
29.76	0.05373
29.78	0.08773
29.8	0.11783
29.82	0.10738
29.84	0.04496
29.86	-0.03921
29.88	-0.12851
29.9	-0.20983
29.92	-0.23507
29.94	-0.18804
29.96	-0.08301
29.98	0.01443
30	0.0505
30.02	0.04504
30.04	0.01584
30.06	-0.00511
30.08	-0.02102
30.1	-0.02479
30.12	-0.02311
30.14	-0.02276
30.16	-0.0615
30.18	-0.08558
30.2	-0.04655
30.22	-0.00989
30.24	0.02926
30.26	0.04341
30.28	0.03966
30.3	-0.00091
30.32	-0.07141
30.34	-0.14083
30.36	-0.0913
30.38	0.00683
30.4	0.11795
30.42	0.15121
30.44	0.12752
30.46	0.12356
30.48	0.14655
30.5	0.17872
30.52	0.2108
30.54	0.26096
30.56	0.32664
30.58	0.36551
30.6	0.34164
30.62	0.28001
30.64	0.1875
30.66	0.07437
30.68	0.00529
30.7	0.00811
30.72	0.01283
30.74	-0.00359
30.76	-0.03343
30.78	-0.05049
30.8	-0.04723
30.82	-0.0436
30.84	-0.06381
30.86	-0.09353
30.88	-0.1239
30.9	-0.15674
30.92	-0.18629
30.94	-0.2266
30.96	-0.28311
30.98	-0.34528
31	-0.3094
31.02	-0.19401
31.04	-0.07312
31.06	0.06217
31.08	0.16152
31.1	0.20612
31.12	0.24831
31.14	0.28448
31.16	0.21566
31.18	0.11611
31.2	0.00872
31.22	-0.03745
31.24	-0.06035
31.26	-0.12201
31.28	-0.2265
31.3	-0.26524
31.32	-0.18133
31.34	-0.05883
31.36	-0.00862
31.38	-0.07134
31.4	-0.10268
31.42	-0.12569
31.44	-0.1445
31.46	-0.17575
31.48	-0.13818
31.5	-0.06286
31.52	0.02416
31.54	0.09539
31.56	0.08773
31.58	0.05872
31.6	-0.01145
31.62	-0.06949
31.64	-0.02488
31.66	0.04561
31.68	0.11617
31.7	0.07677
31.72	-0.00544
31.74	-0.07505
31.76	-0.07624
31.78	-0.06403
31.8	-0.04122
31.82	-0.01439
31.84	0.02752
31.86	0.04073
31.88	-0.00441
31.9	-0.07658
31.92	-0.06863
31.94	0.0304
31.96	0.10027
31.98	0.16872
32	0.15615
32.02	0.11169
32.04	0.06131
32.06	0.06897
32.08	0.0754
32.1	0.04094
32.12	0.01889
32.14	0.04501
32.16	0.07621
32.18	0.07024
32.2	0.03069
32.22	0.02539
32.24	0.10149
32.26	0.2118
32.28	0.22462
32.3	0.11444
32.32	0.01566
32.34	-0.05554
32.36	-0.11211
32.38	-0.19452
32.4	-0.28234
32.42	-0.36593
32.44	-0.36743
32.46	-0.34945
32.48	-0.33142
32.5	-0.30013
32.52	-0.25944
32.54	-0.18585
32.56	-0.07858
32.58	0.02873
32.6	0.08304
32.62	0.07105
32.64	-0.00379
32.66	-0.08816
32.68	-0.18809
32.7	-0.20655
32.72	-0.14233
32.74	-0.06739
32.76	-0.05195
32.78	-0.10467
32.8	-0.14344
32.82	-0.15639
32.84	-0.12897
32.86	-0.07796
32.88	-0.02592
32.9	-0.05573
32.92	-0.12908
32.94	-0.21009
32.96	-0.28547
32.98	-0.25742
33	-0.19131
33.02	-0.12328
33.04	-0.08135
33.06	-0.04559
33.08	0.00424
33.1	0.05495
33.12	0.08012
33.14	0.05132
33.16	0.02423
33.18	0.0759
33.2	0.13565
33.22	0.16418
33.24	0.18148
33.26	0.20973
33.28	0.22826
33.3	0.24197
33.32	0.25559
33.34	0.25519
33.36	0.21803
33.38	0.16154
33.4	0.12271
33.42	0.14295
33.44	0.16868
33.46	0.17961
33.48	0.1707
33.5	0.13391
33.52	0.1072
33.54	0.11221
33.56	0.13943
33.58	0.14832
33.6	0.1385
33.62	0.10115
33.64	0.02061
33.66	-0.07019
33.68	-0.13895
33.7	-0.15951
33.72	-0.17113
33.74	-0.16688
33.76	-0.13585
33.78	-0.06078
33.8	0.01088
33.82	0.05492
33.84	0.07621
33.86	0.05207
33.88	-0.0331
33.9	-0.12963
33.92	-0.18913
33.94	-0.15646
33.96	-0.08072
33.98	0.01179
34	0.0509
34.02	-0.00171
34.04	-0.01141
34.06	0.06869
34.08	0.17469
34.1	0.26152
34.12	0.27489
34.14	0.25861
34.16	0.21518
34.18	0.16176
34.2	0.10625
34.22	0.05025
34.24	-0.00248
34.26	0.00059
34.28	0.04361
34.3	0.05002
34.32	-0.025
34.34	-0.08387
34.36	-0.04015
34.38	0.04545
34.4	0.10366
34.42	0.05861
34.44	-0.02563
34.46	-0.05471
34.48	-0.00563
34.5	0.01459
34.52	0.00798
34.54	-0.03635
34.56	-0.08085
34.58	-0.05777
34.6	0.00824
34.62	0.04099
34.64	0.03081
34.66	0.03811
34.68	0.1316
34.7	0.18561
34.72	0.13237
34.74	0.05559
34.76	0.02305
34.78	0.04318
34.8	0.05484
34.82	0.06417
34.84	0.05605
34.86	0.05501
34.88	0.05296
34.9	0.0613
34.92	0.02015
34.94	-0.05752
34.96	-0.13336
34.98	-0.11854
35	-0.06774
35.02	-0.03028
35.04	-0.0195
35.06	0.02292
35.08	0.09624
35.1	0.14829
35.12	0.09996
35.14	0.01377
35.16	-0.02787
35.18	0.03655
35.2	0.12684
35.22	0.17529
35.24	0.08199
35.26	-0.03324
35.28	-0.16857
35.3	-0.29336
35.32	-0.36802
35.34	-0.34778
35.36	-0.27677
35.38	-0.18066
35.4	-0.08328
35.42	0.02016
35.44	0.07848
35.46	0.09476
35.48	0.1065
35.5	0.11545
35.52	0.14814
35.54	0.18582
35.56	0.22245
35.58	0.22003
35.6	0.18945
35.62	0.15185
35.64	0.11182
35.66	0.07162
35.68	0.02005
35.7	-0.04334
35.72	-0.08893
35.74	-0.10351
35.76	-0.11682
35.78	-0.13366
35.8	-0.15469
35.82	-0.1458
35.84	-0.09073
35.86	0.01271
35.88	0.13025
35.9	0.23622
35.92	0.28189
35.94	0.26718
35.96	0.19897
35.98	0.11797
36	0.05035
36.02	0.00729
36.04	-0.03391
36.06	-0.02172
36.08	0.01236
36.1	0.05267
36.12	0.09603
36.14	0.17019
36.16	0.25761
36.18	0.30293
36.2	0.26617
36.22	0.19827
36.24	0.12742
36.26	0.0572
36.28	-0.02312
36.3	-0.10728
36.32	-0.17343
36.34	-0.17423
36.36	-0.12714
36.38	-0.06877
36.4	-0.01591
36.42	-0.02279
36.44	-0.04143
36.46	-0.01428
36.48	0.04151
36.5	0.02145
36.52	-0.06267
36.54	-0.1286
36.56	-0.11124
36.58	-0.07111
36.6	-0.06994
36.62	-0.09694
36.64	-0.10241
36.66	-0.08816
36.68	-0.0934
36.7	-0.11791
36.72	-0.12719
36.74	-0.07677
36.76	-0.01014
36.78	0.06088
36.8	0.11368
36.82	0.12217
36.84	0.07734
36.86	0.02334
36.88	-0.03666
36.9	-0.09532
36.92	-0.15066
36.94	-0.15005
36.96	-0.12579
36.98	-0.13688
37	-0.17278
37.02	-0.21358
37.04	-0.22299
37.06	-0.20001
37.08	-0.15943
37.1	-0.10736
37.12	-0.06491
37.14	-0.03388
37.16	-0.02958
37.18	-0.06274
37.2	-0.13198
37.22	-0.21573
37.24	-0.25568
37.26	-0.21958
37.28	-0.18244
37.3	-0.15891
37.32	-0.15921
37.34	-0.1673
37.36	-0.17646
37.38	-0.20086
37.4	-0.23778
37.42	-0.27005
37.44	-0.2222
37.46	-0.16055
37.48	-0.13163
37.5	-0.11279
37.52	-0.06243
37.54	0.01139
37.56	0.0452
37.58	0.02446
37.6	-0.04943
37.62	-0.09053
37.64	-0.07571
37.66	-0.09496
37.68	-0.14041
37.7	-0.17592
37.72	-0.17065
37.74	-0.1173
37.76	-0.04928
37.78	-0.02054
37.8	-0.03684
37.82	-0.04612
37.84	-0.00018
37.86	0.06342
37.88	0.11003
37.9	0.13047
37.92	0.10747
37.94	0.08003
37.96	0.06533
37.98	0.05674
38	0.02797
38.02	-0.02672
38.04	-0.06241
38.06	-0.04502
38.08	-0.01099
38.1	0.0157
38.12	0.01481
38.14	0.00894
38.16	0.01381
38.18	0.01849
38.2	0.01162
38.22	0.01024
38.24	0.07498
38.26	0.15434
38.28	0.1956
38.3	0.19749
38.32	0.16449
38.34	0.1271
38.36	0.08359
38.38	0.04236
38.4	0.02036
38.42	0.00471
38.44	-0.01055
38.46	-0.02709
38.48	-0.03742
38.5	-0.04114
38.52	-0.04632
38.54	-0.05675
38.56	-0.05552
38.58	-0.02091
38.6	0.01965
38.62	0.03822
38.64	0.04504
38.66	0.06534
38.68	0.10566
38.7	0.12352
38.72	0.10945
38.74	0.09203
38.76	0.0566
38.78	0.00223
38.8	-0.04083
38.82	-0.05964
38.84	-0.05377
38.86	-0.04308
38.88	-0.02229
38.9	0.00792
38.92	0.04019
38.94	0.03216
38.96	-0.00166
38.98	-0.02238
39	-0.03926
39.02	-0.08376
39.04	-0.11331
39.06	-0.11526
39.08	-0.09887
39.1	-0.08939
39.12	-0.08408
39.14	-0.08342
39.16	-0.05987
39.18	-0.01041
39.2	0.0318
39.22	0.06025
39.24	0.08064
39.26	0.09155
39.28	0.10906
39.3	0.13688
39.32	0.16589
39.34	0.15517
39.36	0.11874
39.38	0.08091
39.4	0.03735
39.42	0.00002
39.44	-0.04731
39.46	-0.04523
39.48	0.01598
39.5	0.09123
39.52	0.12842
39.54	0.08942
39.56	0.05451
39.58	0.03906
39.6	0.04581
39.62	0.05412
39.64	0.06566
39.66	0.07612
39.68	0.07961
39.7	0.06888
39.72	0.06925
39.74	0.07656
39.76	0.08715
39.78	0.09641
39.8	0.10866
39.82	0.10686
39.84	0.08706
39.86	0.06128
39.88	0.05882
39.9	0.09341
39.92	0.12095
39.94	0.14297
39.96	0.13566
39.98	0.0975
40	0.04108
40.02	0.01518
40.04	0.0289
40.06	0.04394
40.08	0.04064
40.1	0.0271
40.12	0.01227
40.14	-0.00298
40.16	-0.01906
40.18	-0.03265
40.2	-0.06469
40.22	-0.12107
40.24	-0.17411
40.26	-0.19799
40.28	-0.16622
40.3	-0.10102
40.32	-0.05069
40.34	-0.06682
40.36	-0.08436
40.38	-0.0287
40.4	0.04623
40.42	0.12698
40.44	0.13984
40.46	0.11692
40.48	0.0957
40.5	0.0747
40.52	0.0483
40.54	0.00965
40.56	-0.01671
40.58	-0.02013
40.6	-0.00446
40.62	0.01382
40.64	0.03289
40.66	0.03352
40.68	0.02757
40.7	0.0128
40.72	-0.01345
40.74	-0.03376
40.76	-0.02252
40.78	0.00017
40.8	0.00555
40.82	-0.00766
40.84	-0.01646
40.86	0.01818
40.88	0.07081
40.9	0.11166
40.92	0.12625
40.94	0.13681
40.96	0.1425
40.98	0.12735
41	0.0953
41.02	0.07054
41.04	0.05576
41.06	0.07678
41.08	0.12313
41.1	0.17209
41.12	0.209
41.14	0.21178
41.16	0.18846
41.18	0.14327
41.2	0.09851
41.22	0.04806
41.24	0.01802
41.26	0.00479
41.28	0.00389
41.3	0.02047
41.32	0.03818
41.34	0.06129
41.36	0.08381
41.38	0.09031
41.4	0.06695
41.42	0.03126
41.44	-0.00076
41.46	-0.03061
41.48	-0.07209
41.5	-0.0826
41.52	-0.04901
41.54	-0.01061
41.56	0.03083
41.58	0.05963
41.6	0.0577
41.62	0.00829
41.64	-0.07012
41.66	-0.12125
41.68	-0.14187
41.7	-0.16122
41.72	-0.16271
41.74	-0.13679
41.76	-0.09765
41.78	-0.05703
41.8	-0.01399
41.82	0.02606
41.84	0.07105
41.86	0.08894
41.88	0.07584
41.9	0.0667
41.92	0.05134
41.94	0.03337
41.96	0.00755
41.98	0.00996
42	0.05594
42.02	0.11165
42.04	0.16557
42.06	0.1895
42.08	0.19677
42.1	0.19213
42.12	0.18459
42.14	0.15647
42.16	0.09978
42.18	0.04372
42.2	0.01707
42.22	0.00641
42.24	0.01327
42.26	0.02929
42.28	0.05733
42.3	0.08541
42.32	0.11059
42.34	0.12471
42.36	0.13898
42.38	0.14746
42.4	0.13368
42.42	0.11236
42.44	0.08868
42.46	0.05372
42.48	0.01673
42.5	-0.00524
42.52	-0.01456
42.54	0.00309
42.56	0.0293
42.58	0.06928
42.6	0.09016
42.62	0.06077
42.64	0.01624
42.66	-0.01692
42.68	-0.03029
42.7	-0.03559
42.72	-0.01241
42.74	0.01198
42.76	0.04419
42.78	0.05593
42.8	0.04339
42.82	0.02412
42.84	0.00382
42.86	-0.03374
42.88	-0.07214
42.9	-0.12462
42.92	-0.16091
42.94	-0.16537
42.96	-0.15439
42.98	-0.13422
43	-0.11655
43.02	-0.13773
43.04	-0.18582
43.06	-0.22422
43.08	-0.24333
43.1	-0.24192
43.12	-0.22512
43.14	-0.21128
43.16	-0.20001
43.18	-0.18499
43.2	-0.1605
43.22	-0.14762
43.24	-0.13445
43.26	-0.12507
43.28	-0.10477
43.3	-0.07848
43.32	-0.04812
43.34	-0.033
43.36	-0.03276
43.38	-0.03548
43.4	-0.02698
43.42	-0.00628
43.44	0.01615
43.46	0.03663
43.48	0.05069
43.5	0.06448
43.52	0.07806
43.54	0.1037
43.56	0.12931
43.58	0.12189
43.6	0.08973
43.62	0.05084
43.64	0.0096
43.66	-0.03014
43.68	-0.07213
43.7	-0.09201
43.72	-0.09155
43.74	-0.0883
43.76	-0.08378
43.78	-0.07812
43.8	-0.08152
43.82	-0.09947
43.84	-0.12079
43.86	-0.11511
43.88	-0.08346
43.9	-0.0562
43.92	-0.04646
43.94	-0.05682
43.96	-0.06976
43.98	-0.0749
44	-0.08659
44.02	-0.10389
44.04	-0.1249
44.06	-0.1301
44.08	-0.11084
44.1	-0.08926
44.12	-0.08385
44.14	-0.0896
44.16	-0.09317
44.18	-0.06483
44.2	-0.01935
44.22	0.01123
44.24	0.02696
44.26	0.04059
44.28	0.0523
44.3	0.05329
44.32	0.02905
44.34	-0.00753
44.36	-0.01963
44.38	-0.01271
44.4	-0.01168
44.42	-0.01892
44.44	-0.02165
44.46	-0.01618
44.48	-0.01512
44.5	-0.01937
44.52	-0.02506
44.54	-0.0309
44.56	-0.03706
44.58	-0.04291
44.6	-0.04783
44.62	-0.03449
44.64	-0.01223
44.66	0.02116
44.68	0.0457
44.7	0.03208
44.72	0.0112
44.74	0.00928
44.76	0.01716
44.78	0.02203
44.8	0.01278
44.82	-0.01301
44.84	-0.04255
44.86	-0.06318
44.88	-0.07884
44.9	-0.09728
44.92	-0.09152
44.94	-0.05244
44.96	-0.00995
44.98	0.03416
45	0.05712
45.02	0.05494
45.04	0.0422
45.06	0.02677
45.08	0.01007
45.1	-0.00399
45.12	-0.00325
45.14	0.00147
45.16	0.00838
45.18	0.01133
45.2	-0.00577
45.22	-0.03011
45.24	-0.05496
45.26	-0.08118
45.28	-0.10586
45.3	-0.13998
45.32	-0.18049
45.34	-0.21051
45.36	-0.21023
45.38	-0.19306
45.4	-0.17336
45.42	-0.15211
45.44	-0.11614
45.46	-0.0654
45.48	-0.02429
45.5	-0.00577
45.52	-0.01308
45.54	-0.03559
45.56	-0.06096
45.58	-0.07444
45.6	-0.05435
45.62	-0.03725
45.64	-0.02242
45.66	-0.01366
45.68	0.01519
45.7	0.05146
45.72	0.06264
45.74	0.04178
45.76	0.00991
45.78	-0.0018
45.8	-0.00215
45.82	-0.00787
45.84	-0.02973
45.86	-0.04853
45.88	-0.06008
45.9	-0.06651
45.92	-0.05457
45.94	-0.042
45.96	-0.03142
45.98	-0.02201
46	-0.00404
46.02	0.02938
46.04	0.04743
46.06	0.04519
46.08	0.04021
46.1	0.04236
46.12	0.04835
46.14	0.05573
46.16	0.05777
46.18	0.05614
46.2	0.04409
46.22	0.0207
46.24	-0.00366
46.26	-0.02544
46.28	-0.04128
46.3	-0.05711
46.32	-0.06434
46.34	-0.06679
46.36	-0.06914
46.38	-0.07281
46.4	-0.07578
46.42	-0.07223
46.44	-0.06438
46.46	-0.05775
46.48	-0.05363
46.5	-0.05224
46.52	-0.04343
46.54	-0.02304
46.56	0.01117
46.58	0.04768
46.6	0.07319
46.62	0.08769
46.64	0.08616
46.66	0.07765
46.68	0.06705
46.7	0.05663
46.72	0.04563
46.74	0.03552
46.76	0.03008
46.78	0.03946
46.8	0.05492
46.82	0.0726
46.84	0.08596
46.86	0.08845
46.88	0.05932
46.9	0.02042
46.92	-0.02147
46.94	-0.06266
46.96	-0.09086
46.98	-0.08678
47	-0.06486
47.02	-0.03841
47.04	-0.02128
47.06	-0.01943
47.08	-0.01738
47.1	-0.01676
47.12	-0.00085
47.14	0.00828
47.16	0.01437
47.18	-0.00541
47.2	-0.0486
47.22	-0.09746
47.24	-0.13154
47.26	-0.14279
47.28	-0.13675
47.3	-0.11926
47.32	-0.10182
47.34	-0.08245
47.36	-0.06658
47.38	-0.05991
47.4	-0.05583
47.42	-0.05256
47.44	-0.04237
47.46	-0.0269
47.48	-0.01498
47.5	-0.01124
47.52	-0.00853
47.54	0.00411
47.56	0.02091
47.58	0.03972
47.6	0.05401
47.62	0.06059
47.64	0.04391
47.66	0.0077
47.68	-0.00374
47.7	-0.00822
47.72	-0.009
47.74	-0.01075
47.76	-0.01632
47.78	-0.02402
47.8	-0.03056
47.82	-0.02613
47.84	-0.01015
47.86	0.01478
47.88	0.04194
47.9	0.0688
47.92	0.08645
47.94	0.09127
47.96	0.08909
47.98	0.08667
48	0.08964
48.02	0.09491
48.04	0.09913
48.06	0.09493
48.08	0.08797
48.1	0.08182
48.12	0.0803
48.14	0.07896
48.16	0.07912
48.18	0.06892
48.2	0.0492
48.22	0.03048
48.24	0.02749
48.26	0.04557
48.28	0.06971
48.3	0.08829
48.32	0.08609
48.34	0.07663
48.36	0.04437
48.38	0.00637
48.4	-0.03449
48.42	-0.06752
48.44	-0.06205
48.46	-0.02292
48.48	0.02431
48.5	0.05432
48.52	0.06739
48.54	0.06189
48.56	0.05297
48.58	0.05185
48.6	0.06847
48.62	0.08593
48.64	0.10538
48.66	0.10473
48.68	0.09562
48.7	0.08474
48.72	0.08121
48.74	0.08063
48.76	0.07722
48.78	0.06484
48.8	0.05284
48.82	0.0524
48.84	0.05964
48.86	0.06358
48.88	0.0614
48.9	0.0442
48.92	0.01822
48.94	0.00213
48.96	0.00166
48.98	0.00991
49	0.03615
49.02	0.06413
49.04	0.08229
49.06	0.08391
49.08	0.07164
49.1	0.04483
49.12	0.031
49.14	0.03993
49.16	0.05334
49.18	0.06254
49.2	0.06559
49.22	0.06937
49.24	0.06757
49.26	0.0521
49.28	0.03181
49.3	0.01714
49.32	0.00754
49.34	0.01524
49.36	0.03421
49.38	0.05479
49.4	0.07772
49.42	0.10675
49.44	0.13238
49.46	0.14712
49.48	0.13436
49.5	0.09685
49.52	0.06042
49.54	0.04058
49.56	0.02761
49.58	0.01561
49.6	0.00415
49.62	-0.00617
49.64	0.00241
49.66	0.01776
49.68	0.02361
49.7	0.02634
49.72	0.0286
49.74	0.03628
49.76	0.0451
49.78	0.04079
49.8	0.03249
49.82	0.0234
49.84	0.0262
49.86	0.04094
49.88	0.05892
49.9	0.0689
49.92	0.06456
49.94	0.05502
49.96	0.03354
49.98	0.01171
50	-0.01331
50.02	-0.02746
50.04	-0.02413
50.06	-0.0178
50.08	-0.00943
50.1	-0.00178
50.12	0.00675
50.14	0.01029
50.16	0.00512
50.18	0.00976
50.2	0.03109
50.22	0.05434
50.24	0.0758
50.26	0.07741
50.28	0.05728
50.3	0.03018
50.32	0.01822
50.34	0.01442
50.36	0.01089
50.38	0.02734
50.4	0.06392
50.42	0.09096
50.44	0.10251
50.46	0.09143
50.48	0.06404
50.5	0.03137
50.52	0.0009
50.54	-0.02026
50.56	-0.03955
50.58	-0.05753
50.6	-0.0757
50.62	-0.08489
50.64	-0.08996
50.66	-0.09366
50.68	-0.09762
50.7	-0.10096
50.72	-0.10463
50.74	-0.09528
50.76	-0.07798
50.78	-0.05931
50.8	-0.04782
50.82	-0.04138
50.84	-0.03589
50.86	-0.03082
50.88	-0.02571
50.9	-0.02052
50.92	-0.01549
50.94	-0.01022
50.96	-0.00531
50.98	0.00022
51	0.0024
51.02	-0.0067
51.04	-0.01811
51.06	-0.02482
51.08	-0.02926
51.1	-0.03369
51.12	-0.03707
51.14	-0.04163
51.16	-0.04445
51.18	-0.06107
51.2	-0.08624
51.22	-0.0996
51.24	-0.10405
51.26	-0.09707
51.28	-0.08959
51.3	-0.08298
51.32	-0.08043
51.34	-0.07535
51.36	-0.05987
51.38	-0.04047
51.4	-0.02004
51.42	0.00473
51.44	0.03112
51.46	0.05438
51.48	0.05838
51.5	0.05599
51.52	0.05289
51.54	0.04207
51.56	0.02394
51.58	0.01303
51.6	0.00712
51.62	0.00088
51.64	0.00449
51.66	0.02302
51.68	0.04234
51.7	0.04355
51.72	0.03372
51.74	0.02276
51.76	0.01053
51.78	-0.00347
51.8	-0.02632
51.82	-0.04827
51.84	-0.07495
51.86	-0.07972
51.88	-0.05448
51.9	-0.02645
51.92	0.00552
51.94	0.02407
51.96	0.03395
51.98	0.04293
52	0.04505
52.02	0.03856
52.04	0.03066
52.06	0.02469
52.08	0.03176
52.1	0.04075
52.12	0.05247
52.14	0.05675
52.16	0.05058
52.18	0.04267
52.2	0.03384
52.22	0.02699
52.24	0.02071
52.26	0.01248
52.28	0.00033
52.3	-0.01263
52.32	-0.02303
52.34	-0.02086
52.36	-0.01656
52.38	-0.0101
52.4	-0.00877
52.42	-0.00925
52.44	-0.01303
52.46	-0.0202
52.48	-0.03146
52.5	-0.02943
52.52	-0.01043
52.54	0.01142
52.56	0.0295
52.58	0.03847
52.6	0.03524
52.62	0.02786
52.64	0.0195
52.66	0.0106
52.68	0.00342
52.7	0.01156
52.72	0.026
52.74	0.03758
52.76	0.04271
52.78	0.04776
52.8	0.05122
52.82	0.05659
52.84	0.05575
52.86	0.04734
52.88	0.03748
52.9	0.02668
52.92	0.01107
52.94	-0.00705
52.96	-0.02563
52.98	-0.04429
53	-0.06326
53.02	-0.07857
53.04	-0.08686
53.06	-0.09417
53.08	-0.10035
53.1	-0.10672
53.12	-0.10301
53.14	-0.09265
53.16	-0.08155
53.18	-0.06929
53.2	-0.06059
53.22	-0.06265
53.24	-0.06806
53.26	-0.07456
53.28	-0.08092
53.3	-0.08759
53.32	-0.09327
53.34	-0.08893
53.36	-0.07654
53.38	-0.0707
53.4	-0.07177
53.42	-0.07482
53.44	-0.07135
53.46	-0.05806
53.48	-0.04259
53.5	-0.03347
53.52	-0.04234
53.54	-0.0553
53.56	-0.06498
53.58	-0.06286
53.6	-0.05917
53.62	-0.05357
53.64	-0.04859
53.66	-0.04614
53.68	-0.04963
53.7	-0.05354
53.72	-0.05864
53.74	-0.0611
53.76	-0.05569
53.78	-0.0481
53.8	-0.04048
53.82	-0.04077
53.84	-0.04424
53.86	-0.049
53.88	-0.05575
53.9	-0.06439
53.92	-0.06894
53.94	-0.06228
53.96	-0.05285
53.98	-0.04224
54	-0.03243
54.02	-0.02889
54.04	-0.02964
54.06	-0.02802
54.08	-0.01994
54.1	-0.00923
54.12	-0.0019
54.14	-0.00188
54.16	-0.00357
54.18	-0.00572
54.2	-0.00812
54.22	-0.01018
54.24	-0.01263
54.26	-0.01513
54.28	-0.02513
54.3	-0.03784
54.32	-0.05022
54.34	-0.04683
54.36	-0.03788
54.38	-0.02872
54.4	-0.02609
	
